Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Susan Campbell Bartoletti,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Susan Campbell Bartoletti,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Bree Barton,Heart of Thorns (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Bree Barton,Soul of Cinder (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Bree Barton,Tears of Frost (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Christopher Barzak,Wonders of the Invisible World,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Melissa Bashardoust,Girls Made of Snow and Glass,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Kalynn Bayron,Cinderella Is Dead,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Kalynn Bayron,Cinderella Is Dead,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Kalynn Bayron,Cinderella Is Dead,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Amy Beashel,The Sky Is Mine,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Andrea Beaty,"Sofia Valdez, Future Prez (Questioneers Picture Books Series)",Banned in Classrooms,,"Roberts, David",,Pennsylvania,Central York School District,August 2021,Administration,2021
Daniel Beaty,Knock Knock: My Dad's Dream for Me,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administration,2021
Alison Bechdel,Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Alison Bechdel,Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administration,2022
Alison Bechdel,Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge,2022
Alison Bechdel,Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Missouri,North Kansas City Schools,October 2021,Formal Challenge,2021
Alison Bechdel,Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge,2021
Alison Bechdel,Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Rhode Island,Pawtucket School Department,December 2021,Administration,2021
Alison Bechdel,Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administration,2022
Alison Bechdel,Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge,2021
Alison Bechdel,Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,May 2022,Administration,2022
Helaine Becker,Counting on Katherine: How Katherine Johnson Saved Apollo 13,Banned in Classrooms,,"Phumiruk, Dow",,Pennsylvania,Central York School District,August 2021,Administration,2021
