Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Yuyi Morales,Dreamers,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Yuyi Morales,Dreamers,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Yuyi Morales,Little Night/Nochecita,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Yuyi Morales,Niño Wrestles the World (Niño Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Yuyi Morales,Niño Wrestles the World (Niño Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Miel Moreland,It Goes Like This,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Monique W. Morris,Pushout: The Criminalization of Black Girls in Schools,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Toni Morrison,Beloved,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Toni Morrison,Beloved,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Toni Morrison,Beloved,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administration,2022
Toni Morrison,Beloved,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Toni Morrison,Beloved,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administration,2022
Toni Morrison,Beloved,Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,2021
Toni Morrison,Beloved,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Toni Morrison,Beloved,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Toni Morrison,Beloved,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Toni Morrison,Beloved,Banned in Libraries,,,,Texas,Katy Independent School District,February 2022,Administration,2022
Toni Morrison,Beloved,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Toni Morrison,Peeny Butter Fudge,Banned in Classrooms,"Morrison, Slade","Cepeda, Joe",,Pennsylvania,Central York School District,August 2021,Administration,2021
Toni Morrison,The Bluest Eye,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,February 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Florida,Sarasota County School,May 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge,2022
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Missouri,Wentzville School District,January 2022,Formal Challenge,2022
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge,2022
Toni Morrison,The Bluest Eye,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Toni Morrison,The Bluest Eye,Banned in Libraries,,,,Tennessee,Wilson County School District,March 2022,Other,2022
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge,2021
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administration,2021
Toni Morrison,The Bluest Eye,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administration,2021
Julia Finley Mosca,The Doctor with an Eye for Eyes: The Story of Dr. Patricia Bath,Banned in Classrooms,,"Rieley, Daniel",,Pennsylvania,Central York School District,August 2021,Administration,2021
Julia Finley Mosca,The Girl with a Mind for Math: The Story of Raye Montague,Banned in Classrooms,,"Rieley, Daniel",,Pennsylvania,Central York School District,August 2021,Administration,2021
Hannah Moskowitz,"Gone, Gone, Gone",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Hannah Moskowitz,"Gone, Gone, Gone",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Hannah Moskowitz,Marco Impossible,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Walter Mosley,47,Banned in Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,2021
Marissa Moss,Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,Banned Pending Investigation,,"Shimizu, Yuko",,Florida,Duval County Public Schools,January 2022,Administration,2022
Gholdy Muhammad,Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Ibtihaj Muhammad,Proud: Living My American Dream (Young Readers Edition),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Ibtihaj Muhammad,The Proudest Blue: A Story of Hijab and Family,Banned in Classrooms,"Ali, S.K.","Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Tamsyn Muir,Gideon the Ninth (The Locked Tomb Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Robert Munsch,"Up, Up, Down!",Banned in Classrooms,,"Martchenko, Michael",,Pennsylvania,Central York School District,August 2021,Administration,2021
Julie Murphy,Ramona Blue,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Jon J. Muth,Zen Shorts (Zen Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Christopher Myers,Wings,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Walter Dean Myers,Dope Sick,Banned Pending Investigation,,,"Jackson, J.D.",Florida,Lee County Schools,May 2022,Administration,2022
Walter Dean Myers,Monster,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Walter Dean Myers,Monster,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administration,2021
Lauren Myracle,How to Be Bad,Banned in Libraries,"Mlynowski, Sarah; Lockhart, E.",,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,Kissing Kate,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Lauren Myracle,"l8r, g8r",Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Lauren Myracle,"l8r, g8r",Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administration,2022
Lauren Myracle,"l8r, g8r",Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Lauren Myracle,"l8r, g8r",Banned in Libraries,,,,Indiana,Carmel Clay Schools,July 2021,Administration,2021
Lauren Myracle,"l8r, g8r",Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Lauren Myracle,"l8r, g8r",Banned in Libraries and Classrooms,,,,Missouri,Francis Howell School District,October 2021,Formal Challenge,2021
Lauren Myracle,"l8r, g8r",Banned Pending Investigation,,,,Texas,Birdville Independent School District,November 2021,Formal Challenge,2021
Lauren Myracle,"l8r, g8r",Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administration,2022
Lauren Myracle,"l8r, g8r",Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Lauren Myracle,"l8r, g8r",Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,2021
Lauren Myracle,"l8r, g8r",Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administration,2021
Lauren Myracle,"l8r, g8r",Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,Shine,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Lauren Myracle,Shine,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Lauren Myracle,Shine,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,The Infinite Moment of Us,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Lauren Myracle,The Infinite Moment of Us,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Lauren Myracle,The Infinite Moment of Us,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administration,2022
Lauren Myracle,The Infinite Moment of Us,Banned in Libraries,,,,Indiana,Carmel Clay Schools,July 2021,Administration,2021
Lauren Myracle,The Infinite Moment of Us,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administration,2021
Lauren Myracle,ttfn (Internet Girls Series),Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Lauren Myracle,ttfn (Internet Girls Series),Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,ttyl (Internet Girls Series),Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Lauren Myracle,ttyl (Internet Girls Series),Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,Under the Moon: A Catwoman Tale,Banned in Libraries,,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,Victor and Nora: A Gotham Love Story,Banned in Libraries,,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Lauren Myracle,yolo (Internet Girls Series),Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Vladimir Nabokov,Lolita,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administration,2021
Innosanto Nagara,A is for Activist,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Jeanne Nagle,Are You LGBTQ?,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jeanne Nagle,GLBT Teens and Society,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Lensey Namioka,Yang the Third and Her Impossible Family (The Yang Family Series),Banned Pending Investigation,,"de Kiefte, Kees",,Florida,Duval County Public Schools,January 2022,Administration,2022
Lensey Namioka,Yang the Youngest and his Terrible Ear (The Yang Family Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Don Nardo,Should Teens Have Access to Birth Control?,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Don Nardo,Teens and Gender Dysphoria,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Don Nardo,Teens and Gender Dysphoria,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Don Nardo,Understanding Gender Identity,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Phyllis Reynolds Naylor,Reluctantly Alice (Alice Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
